date,window
1474963500,Safari
1474963502,Safari
1474963510,Safari
1474963512,Terminal
1474963516,Safari
1474963522,Safari
1474963526,Safari
1474963530,Safari
1474963534,Safari
1474963536,Safari
1474963538,Safari
1474963542,1Password mini
1474963550,Safari
1474963556,Safari
1474963558,Safari
1474963560,Mail
1474963562,Mail
1474963566,Mail
1474963568,Safari
1474963570,Safari
1474963572,Safari
1474963600,Slack
1474963664,System,Preferences
1474963670,Slack
1474963678,Atom
1474963684,BluetoothUIServer
1474963692,BluetoothUIServer
1474963694,BluetoothUIServer
1474963696,Atom
1474963714,BluetoothUIServer
1474963728,BluetoothUIServer
1474963730,Atom
1474963892,Safari
1474963902,Slack
1474963912,Safari
1474963914,Slack
1474963926,Safari
1474963958,Safari
1474963978,Slack
1474963980,Atom
1474963982,Safari
1474963984,Safari
1474963986,Safari
1474963988,Safari
1474963994,Safari
1474963996,Safari
1474964008,Terminal
1474964022,Terminal
1474964026,Terminal
1474964028,Safari
1474964032,Atom
1474964034,Atom
1474964036,Safari
1474964046,Safari
1474964048,Safari
1474964052,Safari
1474964054,Safari
1474964056,Safari
1474964062,Safari
1474964068,Safari
1474964094,Safari
1474964096,Safari
1474964100,Safari
1474964106,Safari
1474964114,Atom
1474964120,Atom
1474964140,Atom
1474964174,Safari
1474964176,Safari
1474964179,Atom
1474964180,Terminal
1474964202,Terminal
1474964208,Terminal
1474964210,Safari
1474964212,Safari
1474964222,Safari
1474964224,Terminal
1474964234,Terminal
1474964238,Terminal
1474964240,Atom
1474964852,Safari
1474964854,Safari
1474964860,Safari
1474964862,Safari
1474964872,Safari
1474964876,Safari
1474964881,Atom
1474964906,Safari
1474964908,Safari
1474964910,Safari
1474964912,Safari
1474964914,Safari
1474964918,Atom
1474964920,Safari
1474964948,Terminal
1474964950,Terminal
1474964954,Terminal
1474964956,Safari
1474964962,Safari
1474965016,Atom
1474965020,Terminal
1474965022,Terminal
1474965027,Safari
1474965028,Safari
1474965030,Safari
1474965032,Safari
1474965034,Safari
1474965045,Atom
1474965086,Safari
1474965088,Atom
1474965100,Safari
1474965102,Atom
1474965134,Safari
1474965159,Atom
1474965188,Safari
1474965194,Terminal
1474965204,Terminal
1474965206,Safari
1474965234,Atom
1474965272,Safari
1474965274,Safari
1474965276,Atom
1474965290,Safari
1474965306,Atom
1474965312,Safari
1474965318,Atom
1474965326,Safari
1474965330,Safari
1474965334,Safari
1474965336,Atom
1474965398,Terminal
1474965408,Atom
1474965410,Atom
1474965412,Atom
1474965422,Sonos
1474965430,Spotify
1474965469,System,Preferences
1474965471,System,Preferences
1474965477,System,Preferences
1474965482,Spotify
1474965490,Sonos
1474965492,Spotify
1474965514,Sonos
1474965518,Atom
1474965782,Safari
1474965784,Safari
1474965786,Safari
1474965790,Safari
1474965815,Safari
1474965834,Safari
1474965844,Safari
1474965846,Safari
1474965848,Safari
1474965917,Atom
1474965972,Telegram
1474966018,Atom
1474966107,Safari
1474966110,Safari
1474966112,Safari
1474966116,Safari
1474966118,Safari
1474966122,Safari
1474966126,Telegram
1474966137,Safari
1474966138,Safari
1474966140,Slack
1474966144,Safari
1474966150,Safari
1474966161,Atom
1474966310,Slack
1474966340,Slack
1474966342,Atom
1474966344,Dash
1474966350,Telegram
1474966368,Slack
1474966414,Dash
1474966416,Atom
1474966418,Atom
1474966424,Slack
1474966458,Atom
1474966460,Atom
1474966572,Slack
1474966616,Atom
1474966620,Slack
1474966628,Atom
1474966630,Slack
1474966650,Safari
1474966659,Slack
1474966662,Safari
1474966700,Slack
1474966722,Safari
1474966867,Slack
1474966910,Safari
1474966912,Safari
1474966914,Slack
1474966920,Safari
1474966922,Safari
1474966924,Safari
1474966935,Slack
1474966943,Safari
1474966944,Safari
1474966946,Slack
1474966970,Slack
1474966972,Safari
1474966974,Safari
1474966976,Safari
1474966978,Safari
1474966980,Safari
1474966988,Safari
1474966992,Safari
1474966995,Safari
1474966999,Slack
1474967032,Terminal
1474967034,Slack
1474967083,Atom
1474967092,Safari
1474967102,Atom
1474967104,Dash
1474967120,Atom
1474967122,Safari
1474967124,Safari
1474967125,Safari
1474967127,Safari
1474967156,Atom
1474967186,Safari
1474967187,Safari
1474967200,Atom
1474967203,Safari
1474967215,Safari
1474967217,Safari
1474967220,Safari
1474967262,Atom
1474967267,Safari
1474967269,Safari
1474967289,Atom
1474967333,Safari
1474967349,Atom
1474967427,Safari
1474967455,Atom
1474967495,Slack
1474967497,Telegram
1474967509,Slack
1474967519,Atom
1474967521,Slack
1474967554,Atom
1474967557,Safari
1474967575,Terminal
1474967577,Terminal
1474967579,Terminal
1474967598,Atom
1474967615,Terminal
1474967626,Terminal
1474967630,Telegram
1474967641,Terminal
1474967643,Safari
1474967649,Slack
1474967651,Safari
1474967665,Atom
1474967671,Terminal
1474967685,Terminal
1474967689,Atom
1474967691,Atom
1474967702,Atom
1474967706,Terminal
1474967707,Atom
1474967711,Safari
1474967715,Safari
1474967718,Safari
1474967731,Safari
1474967737,Safari
1474967748,Atom
1474967749,Safari
1474967756,Atom
1474967815,Terminal
1474967829,Telegram
1474967831,Terminal
1474967833,Atom
1474967836,Atom
1474967837,Atom
1474967839,Atom
1474967841,Atom
1474967863,Atom
1474967865,Atom
1474967876,Atom
1474967879,Atom
1474967881,Atom
1474967917,Sonos
1474967924,Atom
1474967931,Sonos
1474967933,Finder
1474967933,Finder
1474967935,Finder
1474967937,Finder
1474967939,Finder
1474967941,Sonos
1474967945,Spotify
1474967955,Atom
1474967967,Atom
1474967975,Atom
1474968001,Atom
1474968004,Atom
1474968005,Atom
1474968007,Atom
1474968013,Atom
1474968061,Atom
1474968067,Atom
1474968075,Atom
1474968087,Atom
1474968098,Atom
1474968107,Atom
1474968111,Atom
1474968159,Atom
1474968161,Safari
1474968172,Terminal
1474968173,Terminal
1474968181,Terminal
1474968182,Atom
1474968199,Terminal
1474968203,Safari
1474968213,Safari
1474968215,Safari
1474968220,Atom
1474968231,Atom
1474968243,Atom
1474968253,Atom
1474968255,Terminal
1474968275,Terminal
1474968284,Atom
1474968290,Terminal
1474968291,Safari
1474968295,Terminal
1474968299,Terminal
1474968309,Safari
1474968314,Atom
1474968317,Terminal
1474968323,Terminal
1474968326,Atom
1474968331,Atom
1474968333,Terminal
1474968338,Atom
1474968339,Atom
1474968341,Terminal
1474968355,Atom
1474968377,Atom
1474968389,Atom
1474968412,Atom
1474968413,Atom
1474968455,Atom
1474968467,Atom
1474968479,Atom
1474968479,Terminal
1474968513,Atom
1474968526,Terminal
1474968527,Atom
1474968529,Terminal
1474968549,Terminal
1474968555,Atom
1474968556,Safari
1474968558,Safari
1474968560,Safari
1474968567,Safari
1474968572,Telegram
1474968579,Safari
1474968582,Atom
1474968583,Atom
1474968586,Safari
1474968588,Safari
1474968589,loginwindow
1474968604,__LOCKEDSCREEN
1474972452,Safari
1474972608,Slack
1474972618,Atom
1474972621,Safari
1474972622,Safari
1474972633,Terminal
1474972642,Atom
1474972674,Atom
1474972721,Mail
1474972728,Mail
1474972730,Mail
1474972732,Mail
1474972734,Mail
1474972736,WhatsApp
1474972748,WhatsApp
1474972750,Mail
1474972752,Mail
1474972759,Mail
1474972760,Mail
1474972766,Mail
1474972776,Calendar
1474972786,Mail
1474972788,WhatsApp
1474972792,WhatsApp
1474972794,Mail
1474972806,Mail
1474972806,Safari
1474972808,Safari
1474972812,Safari
1474972814,1Password mini
1474972820,Safari
1474972830,Safari
1474972832,Safari
1474972845,1Password mini
1474972848,Safari
1474972856,Safari
1474972868,1Password
1474972876,Safari
1474972892,Safari
1474972894,Safari
1474972946,Safari
1474972948,Safari
1474972951,Mail
1474972952,Mail
1474972956,Safari
1474972958,Mail
1474972961,Mail
1474972962,Mail
1474973002,Mail
1474973005,Mail
1474973006,Calendar
1474973010,Calendar
1474973020,Calendar
1474973022,Calendar
1474973024,Atom
1474973052,Slack
1474973082,Atom
1474973088,Slack
1474973090,Atom
1474973094,Slack
1474973116,Safari
1474973156,Safari
1474973164,Atom
1474973166,Safari
1474973176,Atom
1474973180,Atom
1474973186,Atom
1474973189,Atom
1474973190,Atom
1474973198,Atom
1474973204,Atom
1474973206,Atom
1474973208,Atom
1474973222,Safari
1474973228,Safari
1474973236,Slack
1474973278,Slack
1474973280,Spotify
1474973300,Safari
1474973302,Safari
1474973304,Safari
1474973306,Spotify
1474973309,Safari
1474973312,Safari
1474973314,Safari
1474973320,Safari
1474973322,System,Preferences
1474973324,System,Preferences
1474973340,Slack
1474973357,Slack
1474973358,Atom
1474973360,Atom
1474973366,Safari
1474973393,Safari
1474973396,Safari
1474973424,Postman
1474973427,Postman
1474973430,Safari
1474973432,Safari
1474973434,Safari
1474973439,Postman
1474973456,Safari
1474973460,Safari
1474973494,Finder
1474973496,Finder
1474973500,Terminal
1474973502,Terminal
1474973504,Terminal
1474973508,Terminal
1474973510,NetAuthAgent
1474973520,Terminal
1474973664,Safari
1474973666,Safari
1474973668,Postman
1474973682,Terminal
1474973696,Postman
1474973708,Terminal
1474973738,Terminal
1474973752,Postman
1474973806,Atom
1474973808,Atom
1474973812,Atom
1474973962,Atom
1474973964,Atom
1474974020,Atom
1474974032,Slack
1474974034,Atom
1474974040,Atom
1474974044,Atom
1474974046,Atom
1474974078,Atom
1474974082,Atom
1474974086,Atom
1474974118,Atom
1474974120,Slack
1474974122,Postman
1474974196,Atom
1474974200,Atom
1474974212,Atom
1474974226,Atom
1474974234,Atom
1474974260,Atom
1474974262,Atom
1474974264,Terminal
1474974302,Atom
1474974312,Postman
1474974340,Atom
1474974342,Postman
1474974362,Atom
1474974372,Terminal
1474974374,Terminal
1474974396,Terminal
1474974399,Atom
1474974402,Atom
1474974418,Atom
1474974421,Atom
1474974422,Atom
1474974518,Postman
1474974520,Safari
1474974522,Safari
1474974526,Safari
1474974530,Safari
1474974596,Terminal
1474974598,Terminal
1474974600,Atom
1474974625,Atom
1474974633,Atom
1474974671,Safari
1474974672,Safari
1474974696,Atom
1474974703,Safari
1474974704,Atom
1474974734,Atom
1474974736,Slack
1474974748,Atom
1474974750,Slack
1474974768,Atom
1474974936,Atom
1474974938,Atom
1474975416,Postman
1474975422,Atom
1474975658,Postman
1474975660,Atom
1474976000,Atom
1474976012,Atom
1474976030,Atom
1474976040,Atom
1474976130,Atom
1474976141,Atom
1474976268,Slack
1474976280,Atom
1474976292,Slack
1474976580,loginwindow
1474977824,Slack
1474977832,Postman
1474977840,Atom
1474977948,Slack
1474977964,Postman
1474977968,Slack
1474977973,Atom
1474977976,Slack
1474977978,Safari
1474977981,Safari
1474977984,Safari
1474977996,Safari
1474978002,Safari
1474978017,Safari
1474978020,Safari
1474978023,Slack
1474978028,Safari
1474978032,Safari
1474978050,Safari
1474978052,Safari
1474978062,Safari
1474978064,Safari
1474978066,Postman
1474978068,Slack
1474978075,Safari
1474978076,Safari
1474978079,Finder
1474978080,Slack
1474978084,Safari
1474978086,Safari
1474978088,Slack
1474978090,Finder
1474978092,Atom
1474978097,Safari
1474978098,Safari
1474978100,Safari
1474978102,Terminal
1474978113,Atom
1474978114,Atom
1474978122,Atom
1474978124,Atom
1474978146,Atom
1474978160,Atom
1474978162,Atom
1474978166,Atom
1474978168,Atom
1474978170,Atom
1474978178,Slack
1474978184,Atom
1474978186,Atom
1474978188,Atom
1474978194,Atom
1474978196,Atom
1474978198,Atom
1474978200,Atom
1474978218,Atom
1474978220,Atom
1474978235,Atom
1474978236,Atom
1474978264,Atom
1474978320,Atom
1474978328,Atom
1474978354,Atom
1474978356,Atom
1474978358,Atom
1474978382,Atom
1474978386,Atom
1474978388,Atom
1474978390,Atom
1474978408,Atom
1474978410,Atom
1474978412,Atom
1474978552,Slack
1474978566,Slack
1474978570,Atom
1474978576,Slack
1474978590,Slack
1474978597,Atom
1474978598,Slack
1474978606,Atom
1474978608,Atom
1474978616,Atom
1474978636,Slack
1474978638,Atom
1474978644,Atom
1474978646,Atom
1474978671,Slack
1474978680,Slack
1474978688,Atom
1474978690,Slack
1474978714,Atom
1474978722,Slack
1474978744,Spotify
1474978746,Slack
1474978748,Spotify
1474978752,Slack
1474978770,Slack
1474978772,Spotify
1474978774,Slack
1474978782,Atom
1474978785,Atom
1474978790,Atom
1474978838,Atom
1474978870,Atom
1474978897,Atom
1474978907,Atom
1474978910,Atom
1474978916,Atom
1474978923,Atom
1474978936,Atom
1474978940,Atom
1474978944,Atom
1474978946,Safari
1474978950,Safari
1474978958,Terminal
1474978967,Atom
1474978968,Atom
1474978974,Safari
1474978977,Terminal
1474978993,Atom
1474978996,Atom
1474979028,Terminal
1474979032,Atom
1474979068,Atom
1474979092,Atom
1474979096,Safari
1474979103,Terminal
1474979104,Safari
1474979114,Safari
1474979116,Terminal
1474979128,Terminal
1474979133,Terminal
1474979134,Safari
1474979138,Atom
1474979140,Terminal
1474979156,Atom
1474979191,Terminal
1474979196,Safari
1474979206,Terminal
1474979228,Terminal
1474979234,Terminal
1474979242,Safari
1474979251,Atom
1474979278,Terminal
1474979280,Terminal
1474979291,Safari
1474979293,Terminal
1474979300,Atom
1474979320,Dash
1474979326,Atom
1474979383,Terminal
1474979386,Terminal
1474979398,Terminal
1474979400,Terminal
1474979409,Terminal
1474979410,Safari
1474979412,Safari
1474979422,Atom
1474979426,Atom
1474979451,Safari
1474979461,Atom
1474979488,Safari
1474979502,Atom
1474979533,Terminal
1474979534,Safari
1474979585,Atom
1474979586,Atom
1474979592,Terminal
1474979596,Atom
1474979602,Atom
1474979604,Atom
1474979608,Atom
1474979610,Atom
1474979612,Atom
1474979614,Terminal
1474979628,Terminal
1474979636,Terminal
1474979638,Safari
1474979645,Safari
1474979648,Safari
1474979650,Safari
1474979654,Safari
1474979656,Slack
1474979660,Slack
1474979670,Safari
1474979674,Safari
1474979676,Safari
1474979692,Safari
1474979694,Safari
1474979696,Safari
1474979698,Safari
1474979894,loginwindow
1474980532,Safari
1474980558,Safari
1474980560,Safari
1474980568,Safari
1474980570,Safari
1474980576,Safari
1474980582,Safari
1474980586,Safari
1474980590,Safari
1474980592,Safari
1474980614,Safari
1474980642,Postman
1474980661,Safari
1474980662,Safari
1474980664,Safari
1474980666,Safari
1474980670,Safari
1474980754,Atom
1474980772,Atom
1474980774,Terminal
1474980776,Atom
1474980780,Atom
1474980838,Safari
1474980844,Safari
1474980846,Safari
1474980869,Atom
1474980885,Terminal
1474980890,Safari
1474980897,Slack
1474980898,Slack
1474980968,Slack
1474980980,Atom
1474980982,Terminal
1474980984,Terminal
1474980986,Finder
1474980988,Finder
1474980999,Finder
1474981000,Finder
1474981036,Atom
1474981038,Safari
1474981040,Safari
1474981042,Safari
1474981044,Safari
1474981046,Safari
1474981057,Terminal
1474981064,Atom
1474981078,Safari
1474981270,loginwindow
1474981564,Safari
1474981596,Atom
1474981598,Atom
1474981620,Terminal
1474981622,Terminal
1474981625,Terminal
1474981626,Safari
1474981658,Safari
1474981660,Safari
1474981662,Postman
1474981664,Safari
1474981666,Atom
1474981678,Slack
1474981694,Slack
1474981696,Atom
1474981698,Slack
1474981708,Slack
1474981710,Slack
1474981712,Slack
1474981714,Slack
1474981726,Slack
1474981733,Slack
1474981748,Atom
1474981750,Safari
1474981752,Safari
1474981758,Google,Chrome
1474981760,Google,Chrome
1474981772,Google,Chrome
1474981782,Google,Chrome
1474981786,Google,Chrome
1474981790,Google,Chrome
1474981814,Atom
1474981860,Google,Chrome
1474981880,Atom
1474981898,Google,Chrome
1474981900,Google,Chrome
1474981902,Google,Chrome
1474981905,Google,Chrome
1474981912,Terminal
1474981922,Google,Chrome
1474981944,Atom
1474981948,Terminal
1474981959,Terminal
1474981960,Google,Chrome
1474981962,Google,Chrome
1474981964,Google,Chrome
1474981966,Google,Chrome
1474981968,Terminal
1474981970,Google,Chrome
1474981972,Terminal
1474981978,Atom
1474981986,Atom
1474982006,Slack
1474982020,Slack
1474982027,Atom
1474982028,Terminal
1474982030,Atom
1474982038,Atom
1474982047,Atom
1474982062,Terminal
1474982066,Terminal
1474982070,Google,Chrome
1474982074,Google,Chrome
1474982076,Google,Chrome
1474982078,Terminal
1474982080,Google,Chrome
1474982124,Atom
1474982139,Google,Chrome
1474982144,Atom
1474982148,Atom
1474982151,Atom
1474982162,Atom
1474982176,Atom
1474982183,Slack
1474982196,Atom
1474982236,Terminal
1474982238,Terminal
1474982240,Terminal
1474982251,Terminal
1474982258,Google,Chrome
1474982262,Google,Chrome
1474982264,Google,Chrome
1474982266,Google,Chrome
1474982268,Google,Chrome
1474982288,Google,Chrome
1474982290,Google,Chrome
1474982292,Google,Chrome
1474982306,Terminal
1474982308,Atom
1474982322,Atom
1474982324,Atom
1474982330,Atom
1474982334,Terminal
1474982338,Terminal
1474982344,Terminal
1474982346,Terminal
1474982352,Terminal
1474982354,Terminal
1474982356,Terminal
1474982358,Terminal
1474982360,Finder
1474982362,Finder
1474982364,Finder
1474982366,Finder
1474982374,Terminal
1474982378,Terminal
1474982380,Terminal
1474982382,Terminal
1474982386,Terminal
1474982388,Terminal
1474982396,Atom
1474982404,Terminal
1474982406,Google,Chrome
1474982409,Terminal
1474982410,Terminal
1474982418,Terminal
1474982424,Terminal
1474982436,Terminal
1474982438,Terminal
1474982444,Terminal
1474982448,Terminal
1474982450,Slack
1474982452,Google,Chrome
1474982456,Google,Chrome
1474982478,Terminal
1474982506,Atom
1474982518,Terminal
1474982536,Google,Chrome
1474982538,Terminal
1474982540,Atom
1474982542,Atom
1474982572,Terminal
1474982576,Terminal
1474982583,Terminal
1474982596,Google,Chrome
1474982602,Google,Chrome
1474982608,Terminal
1474982608,Terminal
1474982610,Atom
1474982612,Atom
1474982644,Terminal
1474982652,Google,Chrome
1474982656,Terminal
1474982658,Terminal
1474982662,Terminal
1474982670,Terminal
1474982672,Terminal
1474982674,Google,Chrome
1474982676,Google,Chrome
1474982678,Google,Chrome
1474982726,Atom
1474982746,Google,Chrome
1474982750,Google,Chrome
1474982754,Google,Chrome
1474982760,Terminal
1474982768,Atom
1474982782,Google,Chrome
1474982784,Google,Chrome
1474982786,Google,Chrome
1474982790,Google,Chrome
1474982800,Google,Chrome
1474982802,Google,Chrome
1474982804,Google,Chrome
1474982808,Google,Chrome
1474982812,Slack
1474982818,Safari
1474982820,Safari
1474982822,Safari
1474982825,Slack
1474982826,Atom
1474982835,Google,Chrome
1474982852,Google,Chrome
1474982854,Google,Chrome
1474982862,Google,Chrome
1474982864,Google,Chrome
1474982866,Google,Chrome
1474982868,Atom
1474982870,Atom
1474982872,Atom
1474982874,Atom
1474982878,Atom
1474982885,Slack
1474982888,Atom
1474982918,Atom
1474982920,Atom
1474982922,Atom
1474982934,Google,Chrome
1474982962,Atom
1474983004,Google,Chrome
1474983022,Google,Chrome
1474983030,Atom
1474983040,Atom
1474983042,Atom
1474983044,Terminal
1474983048,Terminal
1474983050,Atom
1474983052,Terminal
1474983056,Atom
1474983058,Atom
1474983062,Terminal
1474983064,Terminal
1474983072,Atom
1474983074,Atom
1474983077,Atom
1474983088,Atom
1474983096,Atom
1474983137,Terminal
1474983138,Terminal
1474983144,Terminal
1474983146,Atom
1474983150,Atom
1474983158,Terminal
1474983160,Terminal
1474983180,Google,Chrome
1474983188,Atom
1474983190,Atom
1474983201,Atom
1474983212,Google,Chrome
1474983224,Atom
1474983228,Atom
1474983238,Terminal
1474983244,Google,Chrome
1474983250,Google,Chrome
1474983254,Terminal
1474983264,Google,Chrome
1474983272,Google,Chrome
1474983274,Google,Chrome
1474983276,Google,Chrome
1474983280,Google,Chrome
1474983292,Google,Chrome
1474983294,Google,Chrome
1474983310,Atom
1474983330,Terminal
1474983332,Terminal
1474983342,Google,Chrome
1474983346,Google,Chrome
1474983348,Google,Chrome
1474983352,Google,Chrome
1474983358,Google,Chrome
1474983360,Google,Chrome
1474983362,Google,Chrome
1474983364,Google,Chrome
1474983366,Google,Chrome
1474983368,Google,Chrome
1474983376,Google,Chrome
1474983378,Google,Chrome
1474983380,Google,Chrome
1474983382,Google,Chrome
1474983384,Atom
1474983386,Terminal
1474983388,Atom
1474983410,Google,Chrome
1474983412,Google,Chrome
1474983417,Google,Chrome
1474983424,Google,Chrome
1474983436,Google,Chrome
1474983486,Atom
1474983492,Atom
1474983494,Atom
1474983510,Terminal
1474983512,Terminal
1474983522,Google,Chrome
1474983526,Atom
1474983528,Atom
1474983536,Google,Chrome
1474983540,Atom
1474983548,Google,Chrome
1474983553,Terminal
1474983556,Terminal
1474983566,Google,Chrome
1474983569,Atom
1474983570,Atom
1474983574,Terminal
1474983576,Google,Chrome
1474983580,Google,Chrome
1474983592,Google,Chrome
1474983604,Terminal
1474983612,Terminal
1474983619,Google,Chrome
1474983626,Google,Chrome
1474983630,Google,Chrome
1474983632,Google,Chrome
1474983634,Google,Chrome
1474983636,Google,Chrome
1474983638,Google,Chrome
1474983640,Atom
1474983648,Atom
1474983652,Terminal
1474983656,Terminal
1474983668,Terminal
1474983668,Google,Chrome
1474983674,Google,Chrome
1474983685,Atom
1474983686,Atom
1474983688,Atom
1474983694,Atom
1474983700,Google,Chrome
1474983702,Google,Chrome
1474983706,Google,Chrome
1474983746,Atom
1474983748,Atom
1474983756,Atom
1474983758,Atom
1474983762,Terminal
1474983764,Terminal
1474983766,Atom
1474983778,Terminal
1474983792,Terminal
1474983798,Atom
1474983830,Atom
1474983832,Atom
1474983834,Terminal
1474983836,Terminal
1474983854,Atom
1474983860,Terminal
1474983876,Atom
1474983878,Atom
1474983884,Terminal
1474983900,Terminal
1474983912,Terminal
1474984092,loginwindow
1474984798,__LOCKEDSCREEN
1474985124,Terminal
1474985128,Safari
1474985138,Safari
1474985140,Safari
1474985142,Safari
1474985204,Safari
1474985208,Safari
1474985211,Safari
1474985214,Safari
1474985320,Safari
1474985322,Safari
1474985530,loginwindow
1474985542,__LOCKEDSCREEN
1474985587,Safari
1474985588,Dash
1474985786,Slack
1474986004,loginwindow
1474986092,__LOCKEDSCREEN
1474986370,Slack
1474986376,Slack
1474986388,Telegram
1474986402,Telegram
1474986409,Telegram
1474986430,Safari
1474986437,Mail
1474986438,Safari
1474986440,Safari
1474986442,Terminal
1474986444,Safari
1474986446,Telegram
1474986458,Atom
1474986458,Google,Chrome
1474986462,Google,Chrome
1474986464,Atom
1474986496,Terminal
1474986498,Terminal
1474986500,Google,Chrome
1474986504,Google,Chrome
1474986506,Atom
1474986508,Terminal
1474986525,Atom
1474986526,Telegram
1474986528,Atom
1474986544,Atom
1474986549,Atom
1474986578,Terminal
1474986580,Google,Chrome
1474986586,Safari
1474986588,Safari
1474986599,Safari
1474986624,Terminal
1474986629,Terminal
1474986632,Terminal
1474986672,Atom
1474986866,loginwindow
1474986912,__LOCKEDSCREEN
1474987342,Atom
1474987360,Slack
1474987364,Slack
1474987366,Terminal
1474987377,Safari
1474987379,Atom
1474987380,Atom
1474987432,Sonos
1474987466,Terminal
1474987474,Atom
1474987476,Terminal
1474987478,Safari
1474987489,Slack
1474987498,Slack
1474987499,Safari
1474987500,Safari
1474987504,Safari
1474987510,Safari
1474987513,Safari
1474987524,Safari
1474987526,Safari
1474987534,Safari
1474987536,Slack
1474987540,Safari
1474987542,Safari
1474987630,Slack
1474987632,Slack
1474987640,Terminal
1474987742,Atom
1474987752,Atom
1474987790,Terminal
1474987796,Atom
1474987801,Calendar
1474987812,Calendar
1474987838,Terminal
1474987840,Calendar
1474987852,Calendar
1474987854,Calendar
1474987856,Safari
1474987858,Safari
1474987862,Safari
1474987862,Safari
1474987868,Safari
1474987872,Safari
1474987889,Terminal
1474987893,Atom
1474987894,Atom
1474987901,Atom
1474987962,Slack
1474987964,Safari
1474987978,Safari
1474988044,Google,Chrome
1474988046,Slack
1474988058,Atom
1474988106,Terminal
1474988112,Google,Chrome
1474988114,Google,Chrome
1474988116,Atom
1474988118,Terminal
1474988136,Atom
1474988150,Google,Chrome
1474988168,Atom
1474988180,Google,Chrome
1474988188,Atom
1474988252,Google,Chrome
1474988268,Atom
1474988284,Google,Chrome
1474988288,Atom
1474988296,Google,Chrome
1474988310,Atom
1474988320,Google,Chrome
1474988330,Atom
1474988346,Google,Chrome
1474988348,Atom
1474988354,Google,Chrome
1474988362,Atom
1474988370,Google,Chrome
1474988380,Atom
1474988442,Google,Chrome
1474988444,Atom
1474988546,Google,Chrome
1474988552,Atom
1474988576,Google,Chrome
1474988586,Atom
1474988622,Dash
1474988644,Atom
1474988656,Dash
1474988658,Atom
1474988676,Google,Chrome
1474988684,Atom
1474988684,Atom
1474988698,Google,Chrome
1474988710,Atom
1474988778,Google,Chrome
1474988792,Atom
1474988812,Google,Chrome
1474988814,Atom
1474988820,Google,Chrome
1474988822,Atom
1474988826,Google,Chrome
1474988844,Atom
1474988850,Google,Chrome
1474988854,Atom
1474988936,Mail
1474989138,loginwindow
1474989734,Mail
1474989742,Mail
1474989748,Google,Chrome
1474989846,Terminal
1474989848,Google,Chrome
1474989852,Google,Chrome
1474989854,Google,Chrome
1474989856,Google,Chrome
1474989858,Google,Chrome
1474989864,Google,Chrome
1474989870,Atom
1474989872,Terminal
1474989892,Terminal
1474989896,Terminal
1474989898,Atom
1474989914,Atom
1474989918,Terminal
1474989920,Terminal
1474989924,Terminal
1474989946,Terminal
1474989952,Terminal
1474989954,Google,Chrome
